id,created_at,updated_at,user_id,product_id,comment,rating,is_anonymous
55555555-eeee-eeee-eeee-555555555555,2023-01-01 12:00:00,,11111111-1111-1111-1111-111111111111,dddddddd-dddd-dddd-dddd-dddddddddddd,Great product!,5,FALSE
66666666-ffff-ffff-ffff-666666666666,2023-01-02 12:00:00,,22222222-2222-2222-2222-222222222222,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,Very good laptop.,4,TRUE
77777777-gggg-gggg-gggg-777777777777,2023-01-03 12:00:00,,33333333-3333-3333-3333-333333333333,ffffffff-ffff-ffff-ffff-ffffffffffff,Excellent tablet.,5,FALSE
88888888-hhhh-hhhh-hhhh-888888888888,2023-01-04 12:00:00,,44444444-4444-4444-4444-444444444444,00000000-0000-0000-0000-000000000000,Good TV.,4,TRUE
99999999-iiii-iiii-iiii-999999999999,2023-01-05 12:00:00,,55555555-5555-5555-5555-555555555555,11111111-1111-1111-1111-111111111111,Average monitor.,3,FALSE
aaaaaaaa-jjjj-jjjj-jjjj-aaaaaaaaaaaa,2023-01-06 12:00:00,,66666666-6666-6666-6666-666666666666,22222222-2222-2222-2222-222222222222,Great headphones!,5,TRUE
bbbbbbbb-kkkk-kkkk-kkkk-bbbbbbbbbbbb,2023-01-07 12:00:00,,77777777-7777-7777-7777-777777777777,33333333-3333-3333-3333-333333333333,Superb speakers!,5,FALSE
cccccccc-llll-llll-llll-cccccccccccc,2023-01-08 12:00:00,,88888888-8888-8888-8888-888888888888,44444444-4444-4444-4444-444444444444,Good camera.,4,TRUE
dddddddd-mmmm-mmmm-mmmm-dddddddddddd,2023-01-09 12:00:00,,99999999-9999-9999-9999-999999999999,55555555-5555-5555-5555-555555555555,Average printer.,3,FALSE
eeeeeeee-nnnn-nnnn-nnnn-eeeeeeeeeeee,2023-01-10 12:00:00,,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,66666666-6666-6666-6666-666666666666,Fantastic wearable!,5,TRUE
